===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.10.152/
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /usr/share/wordlists/dirbuster/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Timeout:                 10s
===============================================================
2022/07/29 13:11:40 Starting gobuster in directory enumeration mode
===============================================================
/forums               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fforums&errormsg=]   
/email                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Femail&errormsg=]    
/video                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fvideo&errormsg=]    
/8                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F8&errormsg=]        
/business             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fbusiness&errormsg=] 
/banner               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fbanner&errormsg=]   
/books                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fbooks&errormsg=]    
/reviews              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Freviews&errormsg=]  
/view                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fview&errormsg=]     
/ads                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fads&errormsg=]      
/pdf                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpdf&errormsg=]      
/print                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fprint&errormsg=]    
/feedback             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffeedback&errormsg=] 
/research             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fresearch&errormsg=] 
/graphics             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fgraphics&errormsg=] 
/2003                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2003&errormsg=]     
/modules              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmodules&errormsg=]  
/company              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcompany&errormsg=]  
/blank                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fblank&errormsg=]    
/common               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcommon&errormsg=]   
/copyright            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcopyright&errormsg=]
/games                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fgames&errormsg=]    
/pub                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpub&errormsg=]      
/site                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsite&errormsg=]     
/comments             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcomments&errormsg=] 
/product              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fproduct&errormsg=]  
/aboutus              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Faboutus&errormsg=]  
/people               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpeople&errormsg=]   
/sports               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsports&errormsg=]   
/english              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fenglish&errormsg=]  
/buttons              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fbuttons&errormsg=]  
/logos                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flogos&errormsg=]    
/uploads              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fuploads&errormsg=]  
/image                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fimage&errormsg=]    
/story                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fstory&errormsg=]    
/subscribe            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsubscribe&errormsg=]
/31                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F31&errormsg=]       
/gallery              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fgallery&errormsg=]  
/blogs                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fblogs&errormsg=]    
/pages                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpages&errormsg=]    
/careers              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcareers&errormsg=]  
/music                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmusic&errormsg=]    
/stats                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fstats&errormsg=]    
/atom                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fatom&errormsg=]     
/newsletter           (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fnewsletter&errormsg=]
/technology           (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftechnology&errormsg=]
/publications         (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpublications&errormsg=]
/stories              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fstories&errormsg=]     
/calendar             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcalendar&errormsg=]    
/photos               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fphotos&errormsg=]      
/arrow                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Farrow&errormsg=]       
/history              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fhistory&errormsg=]     
/data                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdata&errormsg=]        
/community            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcommunity&errormsg=]   
/papers               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpapers&errormsg=]      
/submit               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsubmit&errormsg=]      
/www                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fwww&errormsg=]         
/s                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fs&errormsg=]           
/web                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fweb&errormsg=]         
/internet             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Finternet&errormsg=]    
/go                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fgo&errormsg=]          
/education            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Feducation&errormsg=]   
/header               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fheader&errormsg=]      
/wiki                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fwiki&errormsg=]        
/library              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flibrary&errormsg=]     
/a                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fa&errormsg=]           
/advertise            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fadvertise&errormsg=]   
/b                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fb&errormsg=]           
/in                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fin&errormsg=]          
/topics               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftopics&errormsg=]      
/users                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fusers&errormsg=]       
/mail                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmail&errormsg=]        
/Images               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2FImages&errormsg=]      
/nav                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fnav&errormsg=]         
/spam                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fspam&errormsg=]        
/store                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fstore&errormsg=]       
/clear                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fclear&errormsg=]       
/disclaimer           (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdisclaimer&errormsg=]  
/members              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmembers&errormsg=]     
/c                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fc&errormsg=]           
/feeds                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffeeds&errormsg=]       
/general              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fgeneral&errormsg=]     
/Default              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2FDefault&errormsg=]     
/2002                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2002&errormsg=]        
/awards               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fawards&errormsg=]      
/solutions            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsolutions&errormsg=]   
/signup               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsignup&errormsg=]      
/pics                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpics&errormsg=]        
/dir                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdir&errormsg=]         
/News                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2FNews&errormsg=]        
/map                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmap&errormsg=]         
/weblog               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fweblog&errormsg=]      
/de                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fde&errormsg=]          
/doc                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdoc&errormsg=]         
/public               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpublic&errormsg=]      
/homepage             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fhomepage&errormsg=]    
/contacts             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcontacts&errormsg=]    
/shop                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fshop&errormsg=]        
/index2               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Findex2&errormsg=]      
/list                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flist&errormsg=]        
/button               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fbutton&errormsg=]      
/fr                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffr&errormsg=]          
/viewtopic            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fviewtopic&errormsg=]   
/pixel                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpixel&errormsg=]       
/travel               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftravel&errormsg=]      
/documents            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdocuments&errormsg=]   
/adclick              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fadclick&errormsg=]     
/tips                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftips&errormsg=]        
/overview             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Foverview&errormsg=]    
/wp-content           (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fwp-content&errormsg=]  
/movies               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmovies&errormsg=]      
/contact_us           (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcontact_us&errormsg=]  
/p                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fp&errormsg=]           
/us                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fus&errormsg=]          
/catalog              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcatalog&errormsg=]     
/staff                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fstaff&errormsg=]       
/wireless             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fwireless&errormsg=]    
/global               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fglobal&errormsg=]      
/hardware             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fhardware&errormsg=]    
/screenshots          (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fscreenshots&errormsg=] 
/online               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fonline&errormsg=]      
/apps                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fapps&errormsg=]        
/mobile               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmobile&errormsg=]      
/directory            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdirectory&errormsg=]   
/version              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fversion&errormsg=]     
/other                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fother&errormsg=]       
/welcome              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fwelcome&errormsg=]     
/tech                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftech&errormsg=]        
/advertising          (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fadvertising&errormsg=] 
/admin                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fadmin&errormsg=]       
/t                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ft&errormsg=]           
/policy               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpolicy&errormsg=]      
/link                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flink&errormsg=]        
/2001                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2001&errormsg=]        
/faqs                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffaqs&errormsg=]        
/training             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftraining&errormsg=]    
/member               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmember&errormsg=]      
/space                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fspace&errormsg=]       
/releases             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Freleases&errormsg=]    
/static               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fstatic&errormsg=]      
/join                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fjoin&errormsg=]        
/health               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fhealth&errormsg=]      
/scripts              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fscripts&errormsg=]     
/reports              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Freports&errormsg=]     
/weather              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fweather&errormsg=]     
